Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
www.facebook.com,www.politifact.com,6,0,0,4,0,1,0,0,0,3,8,0,22,0,22,0.05365853658536585,11,0.017441860465116282,3,0.07317073170731707,3,30,0.0,225,35.0,10.0,75,7,1.0,1.0,0.0,0
nationalreport.net,www.whitehouse.gov,0,0,0,14,0,0,0,0,0,0,0,0,14,0,14,0.04,1,0.0,0,0.0,0,0,0.0,25,0.0,4.0,23,5,0.0,0.0,0.5106,0
www.naturalnews.com,www.cdc.gov,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,18,0,0.0,0.0,-0.8834,0
www.facebook.com,www.snopes.com,0,0,0,0,0,2,0,1,0,2,3,1,8,0,7,0.02890173410404624,5,0.006711409395973154,1,0.1153846153846154,3,30,0.0,225,6.0,10.0,33,1,1.0,0.0,0.0,0
www.infowars.com,www.cdc.gov,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0.0,0,0.0,0,0.0,0,0,0.0,21,0.0,3.0,18,0,0.0,0.0,-0.6808,0
twitter.com,www.politifact.com,4,0,0,0,0,0,0,6,0,2,0,0,6,0,0,0.02083333333333333,2,0.0,0,0.047619047619047616,2,18,0.0,32,35.0,12.0,75,7,0.0,0.0,0.4939,1
www.facebook.com,www.nytimes.com,3,0,0,0,0,0,0,0,0,1,2,0,6,0,6,0.03614457831325301,6,0.0,0,0.04,1,30,0.0,225,0.0,10.0,24,3,1.0,0.0,-0.0394,0
dailycaller.com,apps.who.int,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0.0,0,0.0,0,0.0,0,0,0.0,39,0.0,3.0,5,0,0.0,0.0,0.0,0
americannews.com,www.politifact.com,4,0,0,0,0,0,0,0,0,1,0,0,5,1,5,0.014084507042253518,1,0.027027027027027032,1,0.0,0,0,0.0,14,35.0,0.0,75,7,0.0,0.0,0.7184,0
www.facebook.com,www.youtube.com,1,0,0,0,0,0,0,0,0,3,1,0,5,0,5,0.05882352941176471,11,0.047619047619047616,8,0.045454545454545456,1,30,3.0,225,43.0,10.0,23,2,1.0,0.0,0.1779,0
www.youtube.com,www.documentcloud.org,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0.0576923076923077,3,0.028571428571428567,1,0.1111111111111111,2,3,0.0,43,7.0,23.0,14,0,2.0,0.0,-0.4588,0
