"","wd","get(i)","get(i)","get(i)"
"www.facebook.com",153,0.0312360135310955,0.0309412658777549,153
"nationalreport.net",14,0.00146883602448745,0.0303535927293383,14
"www.naturalnews.com",10,0,0.0294249234263689,10
"www.infowars.com",14,5.24991896864201e-05,0.0300347771103383,14
"dailycaller.com",32,0.0077773440888195,0.0305335333190486,32
"americannews.com",8,0,0.0303568258476833,8
"www.youtube.com",46,0.00985902826282463,0.0306199190631379,46
"www.bloomberg.com",8,0.0004656449867839,0.0301310967014378,8
"www.westernjournalism.com",12,0,0.0299003322259136,12
"www.npr.org",7,0.000293082432858102,0.0298585646935568,7
"www.miamiherald.com",9,0.000761375204860968,0.0299800133244504,9
"floridanewsflash.com",23,0,0.0303503602995989,23
"www.learnprogress.org",13,0,0.0301672429609766,13
"thetrumpmedia.com",9,0,0.0299024236701291,9
"wrongwayrubio.com",4,0,0.0294604093446351,4
"www.politicalears.com",8,0,0.029669986466322,8
"www.rushlimbaugh.com",8,1.36954407877618e-05,0.0295234806629834,8
"nation.foxnews.com",11,1.36954407877618e-05,0.0299275438412265,11
"usapoliticszone.com",6,0,0.029940119760479,6
"twitter.com",35,0.00211601407891313,0.0300728078505856,35
"thelastlineofdefense.org",9,0.000462905898626347,0.0299317346402941,9
"standupforthetruth.com",1,0,0.0296782255545142,1
"www.wakeupfromyourslumber.com",3,0,0.00117233294255569,3
"sovereigncitizens.org",15,0.00155246951623138,0.0299516569747075,15
"www.fbo.gov",15,0,0.0297525837770122,15
"www.fireandreamitchell.com",22,0.000382787570017941,0.0303041043453605,22
"republicbroadcasting.org",10,0,0.0299285914309717,10
"www.globalresearch.ca",15,0,0.030173630717109,15
"onlineathens.com",6,0,0.0293300401358444,6
"abcnews.com.co",4,1.16411246695975e-05,0.0299338304799916,4
"www.breitbart.com",20,0.00314182541965113,0.030297661233168,20
"www.outsidethebeltway.com",6,0,0.0298013245033113,6
"www.irs.gov",7,4.3094987012157e-05,0.0295357192206715,7
"fbcdn-sphotos-e-a.akamaihd.net",8,0,0.0300992748010984,8
"uppitywis.org",5,0,0.0294148002889875,5
"www.organicandhealthy.org",9,0,0.029109355849108,9
"therightists.com",2,6.84772039388088e-07,0.0295336787564767,2
"newcenturytimes.com",2,0,0.0283563279384452,2
"www.jewsnews.co.il",5,0,0.0290529749566754,5
"donaldtrumppotus45.com",7,0,0.0300463874051167,7
"www.youngcons.com",8,0,0.0300717501406866,8
"usanewstoday.org",7,0,0.0299611031292708,7
"www.ilga.gov",13,0,0.0295285788292178,13
"data.bls.gov",5,0.000284865168385445,0.0302301736025174,5
"departedmedia.com",4,0,0.0294776762627133,4
"www.politifact.com",66,0.0344724972723247,0.0307288671650374,66
"usa-television.com",3,0,0.0292297699223958,3
"thenewyorkevening.com",8,0,0.0293370848202031,8
"tn4politicaljustice.wordpress.com",5,0,0.0295336787564767,5
"hdl.loc.gov",13,0.00101665822114485,0.03022910479423,13
"www.motherjones.com",11,5.67904277999187e-05,0.030002105410906,11
"jesus-loves-you.org",10,0,0.0298961502150425,10
"townhall.com",6,0.000449210457838586,0.0295326586300991,6
"justicegazette.org",6,0,0.0296936861846218,6
"good-times.webshots.com",2,0,0.0292697956249358,2
"archive.org",6,0,0.00117647058823529,6
"freedomdaily.com",6,0,0.0300908003097065,6
"www.mystatesman.com",6,0.000425928208499391,0.0298335601381765,6
"freepatriot.org",7,0,0.0296751353602666,7
"www.msnbc.msn.com",6,0.000242751687963077,0.0300939776846996,6
"www.redflagnews.com",8,0,0.0299873737373737,8
"alaskareport.com",5,0,0.0294026617146394,5
"abcnews.go.com",20,0.00237147970107418,0.0301693719124912,20
"www.dailymail.co.uk",8,0.00124361450073271,0.0301035138370537,8
"www.beliefnet.com",10,0,0.0299359266132138,10
"www.snopes.com",26,0.00728070175438597,0.0303309801695697,26
"www.vanityfair.com",4,0.000284865168385445,0.0300876236055882,4
"politicot.com",4,0,0.02990137791145,4
"www.documentcloud.org",10,0.000912116356464933,0.0303902751119642,10
"peacemoonbeam.typepad.com",3,0,0.00117233294255569,3
"cannasos.com",7,0,0.0296576364077838,7
"uspoln.com",11,0,0.0300495554071627,11
"smag31.com",7,0,0.0296978117401876,7
"www.aclu.org",7,2.23692199533442e-05,0.0298398073500157,7
"www.examiner.com",18,6.84772039388088e-05,0.0298731700499633,18
"www.ibdeditorials.com",9,0,0.0297536191536748,9
"realtimepolitics.com",4,0,0.0299789621318373,4
"www.theverge.com",5,0,0.0295500103684247,5
"www.washingtonpost.com",36,0.00685819740608351,0.0305215435690572,36
"conservativeactionalerts.com",2,0,0.0282915853214652,2
"www.charismanews.com",3,0,0.0295643153526971,3
"www.enhlive.com",10,0,0.0301800211789622,10
"www.crai.com",6,0,0.0293471545273564,6
"www.childrensdefense.org",2,0,0.029506160057977,2
"www.census.gov",6,0.00036155963679691,0.0300664627070366,6
"www.duhprogressive.com",1,0,0.0293099310959515,1
"www.dispatch.com",5,6.27707702772414e-05,0.0298700391280045,5
"www.plannedparenthood.org",6,0,0.029011570696617,6
