Source,website,page_url,TRUE,FALSE
www.facebook.com,www.facebook.com,42,5,37
www.facebook.com,www.politifact.com,22,0,22
nationalreport.net,www.whitehouse.gov,14,0,14
www.youtube.com,www.youtube.com,9,2,7
www.politifact.com,www.politifact.com,8,0,8
docs.google.com,docs.google.com,8,0,8
www.naturalnews.com,www.cdc.gov,8,0,8
www.facebook.com,www.snopes.com,8,1,7
www.ilga.gov,www.ilga.gov,7,0,7
www.infowars.com,www.cdc.gov,6,0,6
twitter.com,www.politifact.com,6,6,0
twitter.com,twitter.com,6,2,4
www.facebook.com,www.nytimes.com,6,0,6
dailycaller.com,apps.who.int,5,0,5
www.miamiherald.com,www.miamiherald.com,5,0,5
americannews.com,www.politifact.com,5,0,5
www.facebook.com,www.youtube.com,5,0,5
www.youtube.com,www.documentcloud.org,5,0,5
www.bloomberg.com,www.dot.gov,5,0,5
www.facebook.com,www.cbo.gov,4,0,4
www.facebook.com,www.bloomberg.com,4,0,4
www.westernjournalism.com,www.politifact.com,4,0,4
dailycaller.com,www.youtube.com,4,0,4
www.npr.org,www.catholicleague.org,4,0,4
www.mrctv.org,www.state.gov,4,4,0
www.miamiherald.com,www.documentcloud.org,4,0,4
usa-television.com,usa-television.com,4,0,4
www.globalresearch.ca,www.globalresearch.ca,4,0,4
www.facebook.com,www.amazon.com,4,1,3
www.facebook.com,www.reuters.com,3,0,3
floridanewsflash.com,oversight.house.gov,3,0,3
www.learnprogress.org,www.washingtonpost.com,3,0,3
thetrumpmedia.com,www.cnn.com,3,0,3
www.documentcloud.org,www.documentcloud.org,3,0,3
www.miamiherald.com,www.politifact.com,3,0,3
groobiecat.blogspot.com,www.whitehouse.gov,3,3,0
www.facebook.com,www.ips-dc.org,3,0,3
wrongwayrubio.com,www.rubio.senate.gov,3,0,3
www.facebook.com,www.forbes.com,3,0,3
www.plannedparenthood.org,www.plannedparenthood.org,3,0,3
www.facebook.com,www.senate.gov,3,0,3
www.politicalears.com,www.alsa.org,3,0,3
www.facebook.com,www.fns.usda.gov,3,0,3
www.facebook.com,www.factcheck.org,3,0,3
www.childrensdefense.org,www.childrensdefense.org,3,0,3
dailycaller.com,drive.google.com,3,0,3
www.breitbart.com,www.breitbart.com,3,0,3
www.facebook.com,www.congress.gov,3,0,3
www.rushlimbaugh.com,townhall.com,3,0,3
uspoln.com,uspoln.com,3,0,3
www.learnprogress.org,www.cnbc.com,3,0,3
nation.foxnews.com,www.cbsnews.com,3,0,3
usapoliticszone.com,www.cnn.com,3,0,3
twitter.com,georgewbush-whitehouse.archives.gov,3,0,3
thelastlineofdefense.org,www.politifact.com,3,0,3
www.facebook.com,www.washingtonpost.com,3,0,3
standupforthetruth.com,docs.google.com,3,0,3
www.wakeupfromyourslumber.com,www.uticaod.com,3,0,3
sovereigncitizens.org,www.politico.com,3,0,3
www.fbo.gov,www.afpc.af.mil,3,0,3
www.fireandreamitchell.com,fas.org,3,0,3
republicbroadcasting.org,www.blm.gov,3,0,3
www.globalresearch.ca,twitter.com,3,0,3
www.facebook.com,www.opensecrets.org,3,0,3
www.heritage.org,www.heritage.org,3,0,3
www.ibdeditorials.com,www.ibdeditorials.com,3,0,3
www.facebook.com,www.cis.org,3,0,3
twitter.com,docs.google.com,3,3,0
www.infowars.com,www.infowars.com,3,0,3
